metric,average
ndcg_cut_5,0.12594576636531798
ndcg_cut_10,0.12683779104801848
ndcg_cut_20,0.12340872110921786
ndcg_cut_50,0.1429501687625929
ndcg_cut_100,0.14332564659206656
map_cut_5,0.0014232972785816987
map_cut_10,0.002274603868174505
map_cut_20,0.003424253772194135
map_cut_50,0.007620870173518572
map_cut_100,0.013367372564577882
topic_id,24.471698113207548
